,timestamp,equity,cash,position_value,unrealized_pnl,position_side,position_qty,peak,drawdown,drawdown_pct
0,2025-09-11 07:24:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
1,2025-09-11 07:25:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
2,2025-09-11 07:26:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
3,2025-09-11 07:27:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
4,2025-09-11 07:28:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
5,2025-09-11 07:29:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
6,2025-09-11 07:30:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
7,2025-09-11 07:31:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
8,2025-09-11 07:32:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
9,2025-09-11 07:33:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
10,2025-09-11 07:34:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
11,2025-09-11 07:35:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
12,2025-09-11 07:36:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
13,2025-09-11 07:37:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
14,2025-09-11 07:38:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
15,2025-09-11 07:39:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
16,2025-09-11 07:40:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
17,2025-09-11 07:41:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
18,2025-09-11 07:42:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
19,2025-09-11 07:43:29.952286,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
20,2025-09-11 07:44:29.952286,999943.6489545942,812119.3525549519,187824.29639964228,-18.78242963996572,1,3.7914578096592737,1000000.0,-56.35104540584143,-5.635104540584143e-05
21,2025-09-11 07:45:29.952286,999923.8238525932,812119.3525549519,187804.47129764126,-38.60753164101066,1,3.7914578096592737,1000000.0,-76.17614740680438,-7.617614740680437e-05
22,2025-09-11 07:46:29.952286,999904.1800010282,812119.3525549519,187784.82744607635,-58.25138320590081,1,3.7914578096592737,1000000.0,-95.81999897176865,-9.581999897176865e-05
23,2025-09-11 07:47:29.952286,999735.4192201839,812119.3525549519,187616.06666523195,-227.01216405029038,1,3.7914578096592737,1000000.0,-264.5807798161404,-0.0002645807798161404
24,2025-09-11 07:48:29.952286,999679.1963734502,812119.3525549519,187559.8438184983,-283.23501078395174,1,3.7914578096592737,1000000.0,-320.80362654977944,-0.00032080362654977944
