timestamp,price,cash,position,total_value
2026-02-17 05:00:00+00:00,68245.71,10000.0,0.0,10000.0
2026-02-17 06:00:00+00:00,68400.0,90.10000000000036,0.14506406336749958,10012.48193433697
2026-02-17 07:00:00+00:00,68388.12,90.10000000000036,0.14506406336749958,10010.758573264166
2026-02-17 08:00:00+00:00,68177.53,90.10000000000036,0.14506406336749958,9980.209532159604
2026-02-17 09:00:00+00:00,68126.28,90.10000000000036,0.14506406336749958,9972.77499891202
2026-02-17 10:00:00+00:00,67845.3,9962.892323913109,0.0,9962.892323913109
2026-02-17 11:00:00+00:00,67854.6,9962.892323913109,0.0,9962.892323913109
2026-02-17 12:00:00+00:00,67919.49,9962.892323913109,0.0,9962.892323913109
2026-02-17 13:00:00+00:00,68136.34,9962.892323913109,0.0,9962.892323913109
2026-02-17 14:00:00+00:00,66875.06,9962.892323913109,0.0,9962.892323913109
2026-02-17 15:00:00+00:00,67392.05,9962.892323913109,0.0,9962.892323913109
2026-02-17 16:00:00+00:00,67517.36,9962.892323913109,0.0,9962.892323913109
2026-02-17 17:00:00+00:00,67244.22,9962.892323913109,0.0,9962.892323913109
2026-02-17 18:00:00+00:00,68098.62,9962.892323913109,0.0,9962.892323913109
2026-02-17 19:00:00+00:00,67793.32,9962.892323913109,0.0,9962.892323913109
2026-02-17 20:00:00+00:00,67753.3,9962.892323913109,0.0,9962.892323913109
2026-02-17 21:00:00+00:00,67680.54,9962.892323913109,0.0,9962.892323913109
2026-02-17 22:00:00+00:00,67527.72,9962.892323913109,0.0,9962.892323913109
2026-02-17 23:00:00+00:00,67503.52,9962.892323913109,0.0,9962.892323913109
2026-02-18 00:00:00+00:00,67302.65,9962.892323913109,0.0,9962.892323913109
2026-02-18 01:00:00+00:00,67165.2,9962.892323913109,0.0,9962.892323913109
2026-02-18 02:00:00+00:00,67335.04,9962.892323913109,0.0,9962.892323913109
2026-02-18 03:00:00+00:00,67629.11,9962.892323913109,0.0,9962.892323913109
2026-02-18 04:00:00+00:00,67823.54,9962.892323913109,0.0,9962.892323913109
2026-02-18 05:00:00+00:00,67654.8,9962.892323913109,0.0,9962.892323913109
2026-02-18 06:00:00+00:00,67850.52,9962.892323913109,0.0,9962.892323913109
2026-02-18 07:00:00+00:00,68106.44,9962.892323913109,0.0,9962.892323913109
2026-02-18 08:00:00+00:00,68132.82,9962.892323913109,0.0,9962.892323913109
2026-02-18 09:00:00+00:00,68157.79,9962.892323913109,0.0,9962.892323913109
2026-02-18 10:00:00+00:00,67801.26,89.7656598384583,0.14471219505025,9901.43482161117
2026-02-18 11:00:00+00:00,67369.75,89.7656598384583,0.14471219505025,9838.990062325038
2026-02-18 12:00:00+00:00,67458.06,89.7656598384583,0.14471219505025,9851.769596269925
2026-02-18 13:00:00+00:00,67236.88,89.7656598384583,0.14471219505025,9819.762152968711
2026-02-18 14:00:00+00:00,67223.76,89.7656598384583,0.14471219505025,9817.86352896965
2026-02-18 15:00:00+00:00,67694.01,89.7656598384583,0.14471219505025,9885.91443869203
2026-02-18 16:00:00+00:00,67145.34,89.7656598384583,0.14471219505025,9806.51519863381
2026-02-18 17:00:00+00:00,67187.39,89.7656598384583,0.14471219505025,9812.600346435675
2026-02-18 18:00:00+00:00,66359.99,9802.877511749077,0.0,9802.877511749077
2026-02-18 19:00:00+00:00,66177.14,9802.877511749077,0.0,9802.877511749077
2026-02-18 20:00:00+00:00,66268.39,9802.877511749077,0.0,9802.877511749077
2026-02-18 21:00:00+00:00,66342.76,9802.877511749077,0.0,9802.877511749077
2026-02-18 22:00:00+00:00,66408.82,9802.877511749077,0.0,9802.877511749077
2026-02-18 23:00:00+00:00,66461.0,9802.877511749077,0.0,9802.877511749077
2026-02-19 00:00:00+00:00,66446.49,9802.877511749077,0.0,9802.877511749077
2026-02-19 01:00:00+00:00,66866.62,9802.877511749077,0.0,9802.877511749077
2026-02-19 02:00:00+00:00,66835.2,9802.877511749077,0.0,9802.877511749077
2026-02-19 03:00:00+00:00,66980.91,9802.877511749077,0.0,9802.877511749077
2026-02-19 04:00:00+00:00,66802.75,9802.877511749077,0.0,9802.877511749077
2026-02-19 05:00:00+00:00,66871.35,9802.877511749077,0.0,9802.877511749077
2026-02-19 06:00:00+00:00,67150.12,9802.877511749077,0.0,9802.877511749077
2026-02-19 07:00:00+00:00,67206.45,9802.877511749077,0.0,9802.877511749077
2026-02-19 08:00:00+00:00,66966.12,9802.877511749077,0.0,9802.877511749077
2026-02-19 09:00:00+00:00,66836.0,9802.877511749077,0.0,9802.877511749077
2026-02-19 10:00:00+00:00,66843.08,9802.877511749077,0.0,9802.877511749077
2026-02-19 11:00:00+00:00,66496.02,88.32392638085912,0.1451885331530442,9742.78353069635
2026-02-19 12:00:00+00:00,66516.67,88.32392638085912,0.1451885331530442,9745.78167390596
2026-02-19 13:00:00+00:00,65913.37,88.32392638085912,0.1451885331530442,9658.189431854727
2026-02-19 14:00:00+00:00,66421.2,9648.619566349254,0.0,9648.619566349254
2026-02-19 15:00:00+00:00,66398.0,9648.619566349254,0.0,9648.619566349254
2026-02-19 16:00:00+00:00,66293.53,9648.619566349254,0.0,9648.619566349254
2026-02-19 17:00:00+00:00,66369.42,9648.619566349254,0.0,9648.619566349254
2026-02-19 18:00:00+00:00,67030.49,9648.619566349254,0.0,9648.619566349254
2026-02-19 19:00:00+00:00,67050.0,9648.619566349254,0.0,9648.619566349254
2026-02-19 20:00:00+00:00,67149.11,9648.619566349254,0.0,9648.619566349254
2026-02-19 21:00:00+00:00,66916.51,9648.619566349254,0.0,9648.619566349254
2026-02-19 22:00:00+00:00,66915.14,9648.619566349254,0.0,9648.619566349254
2026-02-19 23:00:00+00:00,67003.73,9648.619566349254,0.0,9648.619566349254
2026-02-20 00:00:00+00:00,67228.91,86.93406229280663,0.14256121816928347,9671.16936808593
2026-02-20 01:00:00+00:00,67279.9,86.93406229280663,0.14256121816928347,9678.438564600381
2026-02-20 02:00:00+00:00,67242.03,86.93406229280663,0.14256121816928347,9673.03977126831
2026-02-20 03:00:00+00:00,67366.25,86.93406229280663,0.14256121816928347,9690.748725789299
2026-02-20 04:00:00+00:00,67264.83,86.93406229280663,0.14256121816928347,9676.29016704257
2026-02-20 05:00:00+00:00,67790.1,86.93406229280663,0.14256121816928347,9751.17329811035
2026-02-20 06:00:00+00:00,67847.47,86.93406229280663,0.14256121816928347,9759.352035196722
2026-02-20 07:00:00+00:00,67825.91,86.93406229280663,0.14256121816928347,9756.278415332992
2026-02-20 08:00:00+00:00,67879.99,86.93406229280663,0.14256121816928347,9763.988126011587
2026-02-20 09:00:00+00:00,68218.85,86.93406229280663,0.14256121816928347,9812.296420400431
2026-02-20 10:00:00+00:00,67948.99,86.93406229280663,0.14256121816928347,9773.824850065268
2026-02-20 11:00:00+00:00,67318.41,86.93406229280663,0.14256121816928347,9683.92859711208
2026-02-20 12:00:00+00:00,67541.77,86.93406229280663,0.14256121816928347,9715.771070802371
2026-02-20 13:00:00+00:00,66801.62,86.93406229280663,0.14256121816928347,9610.254385174376
2026-02-20 14:00:00+00:00,67069.65,86.93406229280663,0.14256121816928347,9648.46506848029
2026-02-20 15:00:00+00:00,67582.95,86.93406229280663,0.14256121816928347,9721.641741766582
2026-02-20 16:00:00+00:00,67795.47,86.93406229280663,0.14256121816928347,9751.938851851919
2026-02-20 17:00:00+00:00,67613.37,86.93406229280663,0.14256121816928347,9725.978454023292
2026-02-20 18:00:00+00:00,67924.21,86.93406229280663,0.14256121816928347,9770.292183079033
2026-02-20 19:00:00+00:00,67646.03,86.93406229280663,0.14256121816928347,9730.6345034087
2026-02-20 20:00:00+00:00,67750.4,86.93406229280663,0.14256121816928347,9745.513617749028
2026-02-20 21:00:00+00:00,67825.87,86.93406229280663,0.14256121816928347,9756.272712884263
2026-02-20 22:00:00+00:00,68078.13,86.93406229280663,0.14256121816928347,9792.235205779649
2026-02-20 23:00:00+00:00,68020.01,86.93406229280663,0.14256121816928347,9783.949547779648
2026-02-21 00:00:00+00:00,67841.0,86.93406229280663,0.14256121816928347,9758.429664115167
2026-02-21 01:00:00+00:00,67951.24,86.93406229280663,0.14256121816928347,9774.145612806149
2026-02-21 02:00:00+00:00,68001.05,86.93406229280663,0.14256121816928347,9781.24658708316
2026-02-21 03:00:00+00:00,67667.77,86.93406229280663,0.14256121816928347,9733.733784291702
2026-02-21 04:00:00+00:00,67816.97,86.93406229280663,0.14256121816928347,9755.00391804256
2026-02-21 05:00:00+00:00,67851.93,86.93406229280663,0.14256121816928347,9759.987858229755
2026-02-21 06:00:00+00:00,67793.38,86.93406229280663,0.14256121816928347,9751.640898905946
2026-02-21 07:00:00+00:00,67856.01,86.93406229280663,0.14256121816928347,9760.569507999886
2026-02-21 08:00:00+00:00,68055.03,86.93406229280663,0.14256121816928347,9788.942041639937
2026-02-21 09:00:00+00:00,68147.53,86.93406229280663,0.14256121816928347,9802.128954320597
2026-02-21 10:00:00+00:00,68215.54,86.93406229280663,0.14256121816928347,9811.824542768289
2026-02-21 11:00:00+00:00,68092.45,86.93406229280663,0.14256121816928347,9794.276682423832
2026-02-21 12:00:00+00:00,68203.42,86.93406229280663,0.14256121816928347,9810.096700804077
2026-02-21 13:00:00+00:00,68259.99,86.93406229280663,0.14256121816928347,9818.161388915914
2026-02-21 14:00:00+00:00,68450.01,86.93406229280663,0.14256121816928347,9845.250871592441
2026-02-21 15:00:00+00:00,68615.0,86.93406229280663,0.14256121816928347,9868.772046978193
2026-02-21 16:00:00+00:00,68322.6,86.93406229280663,0.14256121816928347,9827.087146785494
2026-02-21 17:00:00+00:00,68437.45,86.93406229280663,0.14256121816928347,9843.460302692234
2026-02-21 18:00:00+00:00,68574.0,86.93406229280663,0.14256121816928347,9862.92703703325
2026-02-21 19:00:00+00:00,68543.51,86.93406229280663,0.14256121816928347,9858.58034549127
2026-02-21 20:00:00+00:00,68211.19,86.93406229280663,0.14256121816928347,9811.204401469253
2026-02-21 21:00:00+00:00,68379.95,86.93406229280663,0.14256121816928347,9835.263032647501
2026-02-21 22:00:00+00:00,67972.0,86.93406229280663,0.14256121816928347,9777.105183695343
2026-02-21 23:00:00+00:00,67975.93,86.93406229280663,0.14256121816928347,9777.665449282747
2026-02-22 00:00:00+00:00,67946.0,86.93406229280663,0.14256121816928347,9773.39859202294
2026-02-22 01:00:00+00:00,68159.31,86.93406229280663,0.14256121816928347,9803.80832547063
2026-02-22 02:00:00+00:00,67909.68,86.93406229280663,0.14256121816928347,9768.22076857903
2026-02-22 03:00:00+00:00,68041.43,86.93406229280663,0.14256121816928347,9787.003209072835
2026-02-22 04:00:00+00:00,67983.5,86.93406229280663,0.14256121816928347,9778.744637704289
2026-02-22 05:00:00+00:00,67977.52,9769.052827128877,0.0,9769.052827128877
2026-02-22 06:00:00+00:00,68038.13,9769.052827128877,0.0,9769.052827128877
2026-02-22 07:00:00+00:00,68005.3,9769.052827128877,0.0,9769.052827128877
2026-02-22 08:00:00+00:00,67950.1,9769.052827128877,0.0,9769.052827128877
2026-02-22 09:00:00+00:00,68053.32,9769.052827128877,0.0,9769.052827128877
2026-02-22 10:00:00+00:00,68129.56,9769.052827128877,0.0,9769.052827128877
2026-02-22 11:00:00+00:00,68219.97,9769.052827128877,0.0,9769.052827128877
2026-02-22 12:00:00+00:00,67928.22,9769.052827128877,0.0,9769.052827128877
2026-02-22 13:00:00+00:00,67652.38,9769.052827128877,0.0,9769.052827128877
2026-02-22 14:00:00+00:00,67443.89,9769.052827128877,0.0,9769.052827128877
2026-02-22 15:00:00+00:00,67684.14,9769.052827128877,0.0,9769.052827128877
2026-02-22 16:00:00+00:00,67632.76,9769.052827128877,0.0,9769.052827128877
2026-02-22 17:00:00+00:00,67384.49,9769.052827128877,0.0,9769.052827128877
2026-02-22 18:00:00+00:00,67422.62,9769.052827128877,0.0,9769.052827128877
2026-02-22 19:00:00+00:00,67428.32,9769.052827128877,0.0,9769.052827128877
2026-02-22 20:00:00+00:00,67401.74,9769.052827128877,0.0,9769.052827128877
2026-02-22 21:00:00+00:00,67612.66,9769.052827128877,0.0,9769.052827128877
2026-02-22 22:00:00+00:00,67666.16,9769.052827128877,0.0,9769.052827128877
2026-02-22 23:00:00+00:00,67643.4,9769.052827128877,0.0,9769.052827128877
2026-02-23 00:00:00+00:00,66740.47,9769.052827128877,0.0,9769.052827128877
2026-02-23 01:00:00+00:00,64427.65,9769.052827128877,0.0,9769.052827128877
2026-02-23 02:00:00+00:00,64783.56,9769.052827128877,0.0,9769.052827128877
2026-02-23 03:00:00+00:00,64934.17,9769.052827128877,0.0,9769.052827128877
2026-02-23 04:00:00+00:00,64808.31,9769.052827128877,0.0,9769.052827128877
2026-02-23 05:00:00+00:00,65070.9,9769.052827128877,0.0,9769.052827128877
2026-02-23 06:00:00+00:00,65757.32,9769.052827128877,0.0,9769.052827128877
2026-02-23 07:00:00+00:00,65958.94,9769.052827128877,0.0,9769.052827128877
2026-02-23 08:00:00+00:00,65676.44,9769.052827128877,0.0,9769.052827128877
2026-02-23 09:00:00+00:00,66404.91,9769.052827128877,0.0,9769.052827128877
2026-02-23 10:00:00+00:00,66319.69,9769.052827128877,0.0,9769.052827128877
2026-02-23 11:00:00+00:00,66207.23,9769.052827128877,0.0,9769.052827128877
2026-02-23 12:00:00+00:00,66280.4,9769.052827128877,0.0,9769.052827128877
2026-02-23 13:00:00+00:00,66132.66,9769.052827128877,0.0,9769.052827128877
2026-02-23 14:00:00+00:00,65923.53,9769.052827128877,0.0,9769.052827128877
2026-02-23 15:00:00+00:00,65660.1,9769.052827128877,0.0,9769.052827128877
2026-02-23 16:00:00+00:00,65364.65,9769.052827128877,0.0,9769.052827128877
2026-02-23 17:00:00+00:00,64813.26,9769.052827128877,0.0,9769.052827128877
2026-02-23 18:00:00+00:00,64635.49,9769.052827128877,0.0,9769.052827128877
2026-02-23 19:00:00+00:00,64295.1,9769.052827128877,0.0,9769.052827128877
2026-02-23 20:00:00+00:00,64473.14,9769.052827128877,0.0,9769.052827128877
2026-02-23 21:00:00+00:00,64580.66,9769.052827128877,0.0,9769.052827128877
2026-02-23 22:00:00+00:00,64725.56,9769.052827128877,0.0,9769.052827128877
2026-02-23 23:00:00+00:00,64656.02,9769.052827128877,0.0,9769.052827128877
