,timestamp,equity,cash,position_value,unrealized_pnl,position_side,position_qty,peak,drawdown,drawdown_pct
0,2025-09-11 07:08:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
1,2025-09-11 07:09:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
2,2025-09-11 07:10:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
3,2025-09-11 07:11:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
4,2025-09-11 07:12:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
5,2025-09-11 07:13:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
6,2025-09-11 07:14:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
7,2025-09-11 07:15:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
8,2025-09-11 07:16:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
9,2025-09-11 07:17:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
10,2025-09-11 07:18:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
11,2025-09-11 07:19:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
12,2025-09-11 07:20:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
13,2025-09-11 07:21:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
14,2025-09-11 07:22:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
15,2025-09-11 07:23:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
16,2025-09-11 07:24:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
17,2025-09-11 07:25:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
18,2025-09-11 07:26:50.783651,1000000.0,1000000.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0
